[2025-02-20 12:09:24] Packet detected: 192.168.1.36 -> 172.253.63.94 | Size: 93 bytes
[2025-02-20 12:09:24] Packet detected: 192.168.1.36 -> 162.159.200.1 | Size: 90 bytes
[2025-02-20 12:09:24] Packet detected: 162.159.200.1 -> 192.168.1.36 | Size: 90 bytes
[2025-02-20 12:09:24] Packet detected: 172.253.63.94 -> 192.168.1.36 | Size: 60 bytes
[2025-02-20 12:09:24] Packet detected: 20.201.28.151 -> 192.168.1.36 | Size: 54 bytes
[2025-02-20 12:09:24] Packet detected: 192.168.1.36 -> 20.201.28.151 | Size: 54 bytes
[2025-02-20 12:09:24] Packet detected: 20.201.28.151 -> 192.168.1.36 | Size: 93 bytes
[2025-02-20 12:09:24] Packet detected: 20.201.28.151 -> 192.168.1.36 | Size: 78 bytes
[2025-02-20 12:09:24] Packet detected: 192.168.1.36 -> 20.201.28.151 | Size: 54 bytes
[2025-02-20 12:09:24] Packet detected: 192.168.1.36 -> 20.201.28.151 | Size: 54 bytes
[2025-02-20 12:09:24] Packet detected: 192.168.1.36 -> 20.201.28.151 | Size: 54 bytes
[2025-02-20 12:09:24] Packet detected: 20.201.28.151 -> 192.168.1.36 | Size: 54 bytes
[2025-02-20 12:09:24] Packet detected: 140.82.113.25 -> 192.168.1.36 | Size: 79 bytes
[2025-02-20 12:09:24] Packet detected: 192.168.1.36 -> 140.82.113.25 | Size: 83 bytes
[2025-02-20 12:09:25] Packet detected: 140.82.113.25 -> 192.168.1.36 | Size: 60 bytes
[2025-02-20 12:09:25] Packet detected: 192.168.1.36 -> 142.251.133.174 | Size: 55 bytes
[2025-02-20 12:09:25] Packet detected: 142.251.133.174 -> 192.168.1.36 | Size: 66 bytes
[2025-02-20 12:09:25] Packet detected: 192.168.1.36 -> 185.199.108.154 | Size: 55 bytes
[2025-02-20 12:09:25] Packet detected: 185.199.108.154 -> 192.168.1.36 | Size: 66 bytes
[2025-02-20 12:09:26] Packet detected: 192.168.1.36 -> 142.251.135.74 | Size: 55 bytes
[2025-02-20 12:09:26] Packet detected: 142.251.135.74 -> 192.168.1.36 | Size: 66 bytes
[2025-02-20 12:09:26] Packet detected: 192.168.1.36 -> 142.251.135.65 | Size: 55 bytes
[2025-02-20 12:09:26] Packet detected: 142.251.135.65 -> 192.168.1.36 | Size: 66 bytes
